sort,id,parent,scheme,context,domain,property,skos_exactMatch,rdfs_comment_en,skos_prefLabel_en,skos_altLabel_en,skos_hiddenLabel_en,skos_prefLabel_de,skos_altLabel_de,skos_prefLabel_fr,skos_altLabel_fr,skos_prefLabel_it,skos_altLabel_it,skos_definition_en
383,http://vocab.performing-arts.ch/sfpro,http://vocab.performing-arts.ch/sf,False,Object,,,,,progressive,,,,,,,,,
384,http://vocab.performing-arts.ch/so,,True,Object,,ebucore:scanningOrder,,,video scanning order,,,,,,,,,
385,http://vocab.performing-arts.ch/sotop,http://vocab.performing-arts.ch/so,False,Object,,,,,top,upper,,,,,,,,
386,http://vocab.performing-arts.ch/sobtm,http://vocab.performing-arts.ch/so,False,Object,,,,,bottom,lower,,,,,,,,
387,http://vocab.performing-arts.ch/rs,,True,Record Resource,rico:RecordSet,rico:hasRecordSetType,,,archival level,,,Archivebene,,niveau archives,,,,
388,http://vocab.performing-arts.ch/rstyp,http://vocab.performing-arts.ch/rs,False,Record Resource,,,,,record set type,,,Record-Set-Typ,,record set type,,record set type,,
389,http://vocab.performing-arts.ch/rsarc,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,wd:Q166118,,archive,,,Archiv,,archives,,archivio,,
390,http://vocab.performing-arts.ch/rssct,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,,,section,,,Hauptabteilung,,section,,sezione,,
391,http://vocab.performing-arts.ch/rsssc,http://vocab.performing-arts.ch/rssct,False,Record Resource,,,,,sub-section,,,Unterabteilung,,sous-section,,sottosezione,,
392,http://vocab.performing-arts.ch/rsfnd,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,ric-rst:Fonds; wd:Q3052382,"""The whole of the records, regardless of form or medium, organically created and/or accumulated and used by a particular person, family, or corporate body in the course of that creator's activities and functions."" (ISAD-G, 2nd ed.)",fonds,,,Bestand,,fonds,,fondo,,
393,http://vocab.performing-arts.ch/rssfn,http://vocab.performing-arts.ch/rsfnd,False,Record Resource,,,,"""A subdivision of a fonds containing a body of related records corresponding to administrative subdivisions in the originating agency or organization or, when that is not possible, to geographical, chronological, functional, or similar groupings of the material itself. When the creating body has a complex hierarchical structure, each sub-fonds has as many subordinate sub-fonds as are necessary to reflect the levels of the hierarchical structure of the primary subordinate administrative unit."" (ISAD-G, 2nd end.)",sub-fonds,,,Teilbestand,,sous-fonds,,sub-fondo,,
394,http://vocab.performing-arts.ch/rsssf,http://vocab.performing-arts.ch/rssfn,False,Record Resource,,,,,sub-sub-fonds,,,Unterteilbestand,,sous-sous-fonds,,sub-sub-fondo,,
395,http://vocab.performing-arts.ch/rsclt,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,ric-rst:Collection,"""An artificial assemblage of documents accumulated on the basis of some common characteristic without regard to the provenance of those documents. Not to be confused with an archival fonds."" (ISAD-G, 2nd end.)",collection,,,Sammlung,,collection,,collezione,,
396,http://vocab.performing-arts.ch/rssrs,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,ric-rst:Series; wd:Q3511132,"""Documents arranged in accordance with a filing system or maintained as a unit because they result from the same accumulation or filing process, or the same activity; have a particular form; or because of some other relationship arising out of their creation, receipt, or use. A series is also known as a records series."" (ISAD-G, 2nd end.)",series,,,Serie,,série,,serie,,
397,http://vocab.performing-arts.ch/rsssr,http://vocab.performing-arts.ch/rssrs,False,Record Resource,,,,,sub-series,,,Teilserie,,sous-série,,,,
